city_id,city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed,cloudiness,country
191,tsihombe,-25.318547,45.484057,Clouds,75.11,87,1012,9.84,97,MG
192,mayumba,-3.4310453,10.6543709,Rain,77.25,85,1012,0.65,100,GA
193,ahipara,-35.1664105,173.1562074,Clouds,71.44,59,1017,14.99,100,NZ
194,pevek,69.7028171,170.2746851,Clouds,-33.2,98,1017,2.17,100,RU
195,mahebourg,-20.4111041,57.7060616,Clouds,71.98,88,1015,4.61,20,MU
196,tibagi,-24.5151667,-50.4101487,Clouds,68.36,94,1013,3.78,94,BR
197,barentsburg,78.065362,14.2172367,Clouds,29.8,88,1000,12.41,50,SJ
198,clyde river,46.2239354,-63.2576799,Rain,32.52,94,1000,15.99,100,CA
199,samusu,-13.9974088,-171.4288872,Rain,79.92,80,1011,6.87,100,WS
200,ilulissat,69.2197127,-51.0986385,Clouds,-3.71,71,1002,18.41,100,GL
201,olmos,-33.5020648,-63.16653758953701,Clouds,73.02,46,1012,13.06,33,AR
202,elizabeth city,36.2956836,-76.2247697,Clear,54.45,85,1020,3.58,9,US
203,polunochnoye,60.869335,60.425301,Clouds,-8.01,96,1013,6.93,100,RU
204,kruisfontein,-34.0119558,24.7433295,Clouds,65.98,97,1014,5.03,13,ZA
205,sao joao da barra,-21.6348588,-41.0487079,Clouds,74.71,88,1015,16.58,93,BR
206,ponta do sol,32.681067,-17.104073,Clouds,64.04,79,1025,5.88,96,PT
207,teguise,29.0592518,-13.5602184,Clear,59.0,36,1024,3.44,0,ES
208,hamminkeln,51.7306922,6.590865,Rain,51.91,98,1012,14.41,100,DE
209,bethel,60.7922222,-161.7558333,Snow,14.36,85,972,24.16,100,US
210,dawlatabad,36.4204275,64.8975266,Clear,36.45,76,1034,0.6,1,AF
211,chimbote,-9.0744966,-78.593609,Clouds,71.31,74,1014,9.84,87,PE
212,belyy yar,53.596436,91.382362,Mist,-5.94,92,1036,2.24,100,RU
213,palmer,61.5995703,-149.11109,Clouds,33.3,75,972,11.01,100,US
214,lorengau,-2.0329567,147.2789185,Clouds,82.9,75,1010,4.5,98,PG
215,livingstone,-17.853135,25.861429,Rain,66.43,96,1014,6.87,100,ZM
216,necochea,-38.5545494,-58.7392624,Rain,61.65,95,1007,15.26,100,AR
217,dunda,13.2600821,76.6913212,Clear,62.73,82,1016,6.38,8,IN
218,puksoozero,62.5907969,40.6074953,Clouds,24.62,86,991,10.02,97,RU
219,severo-kurilsk,50.6683048,156.1154399,Snow,28.81,92,993,11.39,100,RU
220,biltine,14.525174,20.928701,Clear,65.21,30,1016,16.42,0,TD
221,cockburn town,21.4607723,-71.1399956,Clouds,76.96,73,1019,9.22,40,TC
222,nuuk,64.175029,-51.7355386,Clouds,7.05,81,1002,9.4,98,GL
223,tautira,-27.145219,-109.430579,Rain,77.76,61,1025,17.27,75,CL
224,san ferdinando di puglia,41.302632,16.070465,Clear,53.35,82,1030,2.35,2,IT
225,tiarei,-17.558316750000003,-149.37107895658022,Clear,80.82,78,1014,10.92,9,PF
226,nabire,-3.360285,135.5023653,Clouds,79.83,75,1010,1.7,100,ID
227,shelburne,44.3783486,-73.2276183,Clouds,38.57,72,1014,9.22,75,US
228,eyl,7.9806632,49.8187816,Clouds,76.41,78,1015,19.95,66,SO
229,qasigiannguit,68.8193787,-51.19335,Clouds,-3.75,92,1005,6.89,45,GL
230,prado,41.9203967,-5.4203949,Clouds,48.07,84,1019,19.13,100,ES
231,georgetown,6.8137426,-58.1624465,Clouds,75.49,88,1012,6.4,50,GY
232,santa fe,35.6876096,-105.938456,Clear,43.29,66,1009,10.0,0,US
233,mackay,-21.141956,149.1865149,Clouds,82.65,67,1009,13.89,45,AU
234,sinnamary,5.3770561,-52.9571586,Rain,75.06,91,1012,7.14,100,GF
235,jiuquan,39.7321262,98.4936839,Clouds,14.59,61,1039,3.38,86,CN
236,sur,33.2721211,35.1964023,Clouds,60.28,47,1024,13.96,100,LB
237,ndele,4.9710145,6.741275,Clouds,74.84,65,1011,3.0,26,NG
238,noumea,-22.2745264,166.442419,Clouds,82.06,99,1004,11.7,47,NC
239,orange cove,36.624394,-119.31373,Clouds,53.8,82,1008,6.91,40,US
240,tenenkou,14.4547633,-4.9164995,Clouds,69.69,13,1016,9.06,40,ML
241,gidole,5.6505459,37.3660534,Clouds,55.9,68,1014,5.03,19,ET
242,san patricio,27.9695325,-97.7731720386266,Clouds,79.3,68,1010,13.13,24,US
243,faanui,-16.48243875,-151.73383197031578,Rain,79.74,76,1013,13.11,67,PF
244,khatanga,71.9819205,102.4714765,Clouds,-18.42,97,1024,10.33,75,RU
245,port moresby,-9.4743301,147.1599504,Clouds,82.51,65,1009,6.55,99,PG
246,lata,18.3983393,76.562087,Clear,64.35,58,1016,6.82,0,IN
247,nam phong,16.7195764,102.8027756,Clouds,65.01,66,1018,4.76,98,TH
248,verkhnetulomskiy,68.606667,31.797497,Clouds,23.13,98,992,1.1,100,RU
249,vila franca do campo,37.7171624,-25.4335352,Clouds,57.61,70,1028,8.43,50,PT
250,auki,-8.7706074,160.6992655,Rain,82.51,83,1009,9.75,100,SB
251,halifax,44.648618,-63.5859487,Clouds,39.45,94,1001,15.99,100,CA
252,taiyuan,37.870009,112.5452739,Clear,15.69,62,1032,2.24,0,CN
253,skjervoy,70.17099735,20.69898970978413,Clouds,30.88,68,995,17.13,100,NO
254,mani,12.8531843,7.8773704,Clouds,59.47,28,1017,10.38,44,NG
255,kemijarvi,66.7161179,27.4333534,Clouds,29.39,80,997,13.2,98,FI
256,mackenzie,38.5809508,-90.3164013,Clear,56.57,86,1014,10.36,0,US
257,aflu,34.11252,2.10029,Clouds,40.8,44,1029,6.31,94,DZ
258,eston,51.1493598,-108.7530146,Clouds,15.93,89,1017,7.38,11,CA
259,lebedinyy,58.492325,125.498222,Snow,-8.21,98,1026,11.74,100,RU
260,kasiri,8.9411924,-13.1147872,Clouds,75.56,79,1012,5.53,53,SL
261,shevchenkove,49.887501,34.699722,Clouds,46.09,85,1021,12.15,56,UA
262,thinadhoo,0.5326429,72.99714160821568,Clear,81.21,71,1012,13.31,4,MV
263,mixco,14.6307175,-90.6061595,Rain,69.12,60,1021,11.5,40,GT
264,castro,45.802987,10.06706,Clouds,50.86,73,1030,1.01,100,IT
265,talnakh,69.4939889,88.3907607,Clouds,-8.43,80,1030,2.51,100,RU
266,miandrivazo,-19.5312416,45.4587681,Rain,73.9,91,1014,3.76,100,MG
267,marica,-22.9059188,-42.7926326,Clouds,76.48,92,1013,7.87,13,BR
268,milos,36.70934405,24.506833813253667,Clear,57.79,68,1030,13.15,0,GR
269,tenno,45.918797,10.832775,Clouds,45.84,90,1030,0.94,92,IT
270,mys shmidta,68.8928813,-179.4130958,Clouds,-29.4,96,1014,5.88,60,RU
271,xining,36.617331,101.7761976,Clouds,16.38,58,1037,1.81,78,CN
272,san matias,15.0083551,120.7113103,Clouds,78.55,86,1014,5.3,78,PH
273,muravlenko,63.7947977,74.4969322,Clouds,-26.52,100,1029,6.96,89,RU
274,odweyne,9.40701,45.06358,Rain,67.86,76,1016,5.19,49,SO
275,kavaratti,10.5672203,72.6394636,Clouds,81.43,68,1013,11.61,52,IN
276,sabzevar,36.2134053,57.6808799,Clear,35.11,42,1033,3.51,0,IR
277,saint anthony,45.0283001,-93.2187368,Clear,25.59,86,1014,5.75,0,US
278,yenagoa,4.9334651,6.2747786,Clouds,74.79,76,1011,3.71,29,NG
279,palestina,-20.389344,-49.4320384,Clouds,77.88,69,1011,2.77,100,BR
280,high level,58.516667,-117.133333,Clouds,5.25,98,1009,1.34,52,CA
281,waipawa,-39.9417436,176.589286,Clouds,64.98,57,1025,7.85,95,NZ
282,tupik,54.426773,119.94368,Clouds,-14.22,94,1034,1.7,100,RU
283,walvis bay,-22.9542501,14.5074577,Clouds,65.08,85,1010,0.87,63,NA
284,khor,20.32409905,76.1404306118398,Clear,60.66,52,1016,4.92,0,IN
285,turhal,40.3868287,36.0838319,Clear,38.61,55,1035,1.21,0,TR
286,ozatlan,13.3838439,-88.5054341,Clouds,80.08,63,1011,5.19,51,SV
287,salinas,36.6744117,-121.655037,Clear,56.61,69,1011,12.66,0,US
288,gallup,35.5283506,-108.743907,Clouds,38.07,91,1011,9.78,100,US
289,tongzi,25.5360866,112.5404801,Clouds,40.87,85,1031,4.56,98,CN
290,princeton,40.3492744,-74.6592958,Clouds,45.99,76,1016,6.91,40,US
291,sorland,61.8986221,5.7912616,Clouds,26.49,74,1007,5.75,100,NO
292,torbay,47.6576953,-52.726986,Fog,38.41,97,990,11.5,100,CA
